iter=1430,loss=0.035650,psnr=28.958721
iter=1440,loss=0.035658,psnr=28.956765
iter=1450,loss=0.035636,psnr=28.962106
iter=1460,loss=0.035556,psnr=28.981711
iter=1470,loss=0.035543,psnr=28.984856
iter=1480,loss=0.035518,psnr=28.990931
iter=1490,loss=0.035468,psnr=29.003265
iter=1500,loss=0.035383,psnr=29.024048
iter=1510,loss=0.035132,psnr=29.085914
iter=1520,loss=0.034694,psnr=29.195026
iter=1530,loss=0.034312,psnr=29.290959
iter=1540,loss=0.034150,psnr=29.332279
iter=1550,loss=0.034110,psnr=29.342392
iter=1560,loss=0.034107,psnr=29.343121
iter=1570,loss=0.033974,psnr=29.376973
iter=1580,loss=0.033312,psnr=29.548019
iter=1590,loss=0.032955,psnr=29.641561
iter=1600,loss=0.032857,psnr=29.667482
iter=1610,loss=0.032834,psnr=29.673595
iter=1620,loss=0.032834,psnr=29.673652
iter=1630,loss=0.032764,psnr=29.692094
iter=1640,loss=0.032701,psnr=29.708783
iter=1650,loss=0.032698,psnr=29.709694
iter=1660,loss=0.032708,psnr=29.706933
iter=1670,loss=0.032738,psnr=29.699064
iter=1680,loss=0.032768,psnr=29.691122
iter=1690,loss=0.032785,psnr=29.686579
iter=1700,loss=0.032799,psnr=29.682678
iter=1710,loss=0.032782,psnr=29.687321
iter=1720,loss=0.032781,psnr=29.687557
iter=1730,loss=0.032795,psnr=29.683738
iter=1740,loss=0.032808,psnr=29.680365
iter=1750,loss=0.032822,psnr=29.676763
iter=1760,loss=0.032835,psnr=29.673364
iter=1770,loss=0.032840,psnr=29.672065
iter=1780,loss=0.032840,psnr=29.671827
iter=1790,loss=0.032800,psnr=29.682441
iter=1800,loss=0.032604,psnr=29.734533
iter=1810,loss=0.032548,psnr=29.749535
iter=1820,loss=0.032486,psnr=29.766074
iter=1830,loss=0.032236,psnr=29.833211
iter=1840,loss=0.032192,psnr=29.845155
iter=1850,loss=0.032208,psnr=29.840811
iter=1860,loss=0.032226,psnr=29.835842
iter=1870,loss=0.032245,psnr=29.830748
iter=1880,loss=0.032261,psnr=29.826410
iter=1890,loss=0.032276,psnr=29.822297
iter=1900,loss=0.032279,psnr=29.821602
iter=1910,loss=0.032286,psnr=29.819848
iter=1920,loss=0.032303,psnr=29.815174
iter=1930,loss=0.032319,psnr=29.810921
iter=1940,loss=0.032331,psnr=29.807636
iter=1950,loss=0.032339,psnr=29.805588
iter=1960,loss=0.032273,psnr=29.823085
iter=1970,loss=0.032243,psnr=29.831206
iter=1980,loss=0.032247,psnr=29.830209
iter=1990,loss=0.032228,psnr=29.835217
iter=2000,loss=0.032127,psnr=29.862540
iter=2010,loss=0.031933,psnr=29.915211
iter=2020,loss=0.031767,psnr=29.960427
iter=2030,loss=0.031562,psnr=30.016826
iter=2040,loss=0.031530,psnr=30.025586
iter=2050,loss=0.031537,psnr=30.023607
iter=2060,loss=0.031557,psnr=30.018067
iter=2070,loss=0.031579,psnr=30.011986
iter=2080,loss=0.031555,psnr=30.018739
iter=2090,loss=0.031495,psnr=30.035209
iter=2100,loss=0.031363,psnr=30.071600
iter=2110,loss=0.031035,psnr=30.162976
iter=2120,loss=0.030888,psnr=30.204241
iter=2130,loss=0.030857,psnr=30.212948
iter=2140,loss=0.030857,psnr=30.212831
iter=2150,loss=0.030874,psnr=30.208280
iter=2160,loss=0.030896,psnr=30.201845
iter=2170,loss=0.030850,psnr=30.214788
iter=2180,loss=0.030839,psnr=30.218046
iter=2190,loss=0.030847,psnr=30.215875
iter=2200,loss=0.030769,psnr=30.237690
iter=2210,loss=0.030380,psnr=30.348254
iter=2220,loss=0.030212,psnr=30.396508
iter=2230,loss=0.030181,psnr=30.405467
iter=2240,loss=0.029940,psnr=30.475001
iter=2250,loss=0.029515,psnr=30.599070
iter=2260,loss=0.029409,psnr=30.630353
iter=2270,loss=0.029421,psnr=30.626872
iter=2280,loss=0.029434,psnr=30.622902
iter=2290,loss=0.029429,psnr=30.624484
iter=2300,loss=0.029386,psnr=30.637295
iter=2310,loss=0.029377,psnr=30.639998
iter=2320,loss=0.029389,psnr=30.636438
iter=2330,loss=0.029407,psnr=30.631002
iter=2340,loss=0.029092,psnr=30.724433
iter=2350,loss=0.028615,psnr=30.868091
iter=2360,loss=0.028553,psnr=30.886909
iter=2370,loss=0.028557,psnr=30.885859
iter=2380,loss=0.028573,psnr=30.880780
iter=2390,loss=0.028594,psnr=30.874467
iter=2400,loss=0.028613,psnr=30.868813
iter=2410,loss=0.028630,psnr=30.863500
iter=2420,loss=0.028642,psnr=30.859982
iter=2430,loss=0.028657,psnr=30.855506
iter=2440,loss=0.028661,psnr=30.854287
iter=2450,loss=0.028561,psnr=30.884503
iter=2460,loss=0.028534,psnr=30.892800
iter=2470,loss=0.028471,psnr=30.912037
iter=2480,loss=0.028345,psnr=30.950462
iter=2490,loss=0.028330,psnr=30.954978
iter=2500,loss=0.028310,psnr=30.961348
iter=2510,loss=0.028293,psnr=30.966431
iter=2520,loss=0.028230,psnr=30.985718
iter=2530,loss=0.028209,psnr=30.992103
iter=2540,loss=0.028221,psnr=30.988558
iter=2550,loss=0.028192,psnr=30.997598
iter=2560,loss=0.028158,psnr=31.007873
iter=2570,loss=0.028167,psnr=31.005278
iter=2580,loss=0.028182,psnr=31.000502
iter=2590,loss=0.028200,psnr=30.994927
iter=2600,loss=0.028199,psnr=30.995387
iter=2610,loss=0.027997,psnr=31.057642
iter=2620,loss=0.027869,psnr=31.097614
iter=2630,loss=0.027850,psnr=31.103609
iter=2640,loss=0.027847,psnr=31.104292
iter=2650,loss=0.027851,psnr=31.103195
iter=2660,loss=0.027870,psnr=31.097158
iter=2670,loss=0.027872,psnr=31.096717
iter=2680,loss=0.027829,psnr=31.110001
iter=2690,loss=0.027806,psnr=31.117193
iter=2700,loss=0.027767,psnr=31.129530
iter=2710,loss=0.027797,psnr=31.120155
iter=2720,loss=0.027829,psnr=31.109954
iter=2730,loss=0.027855,psnr=31.102006
iter=2740,loss=0.027887,psnr=31.091924
iter=2750,loss=0.027926,psnr=31.079789
iter=2760,loss=0.027949,psnr=31.072629
iter=2770,loss=0.027939,psnr=31.075878
iter=2780,loss=0.027890,psnr=31.091174
iter=2790,loss=0.027890,psnr=31.091053
iter=2800,loss=0.027908,psnr=31.085557
iter=2810,loss=0.027880,psnr=31.094269
iter=2820,loss=0.027861,psnr=31.100148
iter=2830,loss=0.027859,psnr=31.100653
iter=2840,loss=0.027716,psnr=31.145331
iter=2850,loss=0.027557,psnr=31.195500
iter=2860,loss=0.027520,psnr=31.207119
iter=2870,loss=0.027515,psnr=31.208596
iter=2880,loss=0.027416,psnr=31.239783
iter=2890,loss=0.027288,psnr=31.280529
iter=2900,loss=0.027269,psnr=31.286734
iter=2910,loss=0.027273,psnr=31.285411
iter=2920,loss=0.027222,psnr=31.301527
iter=2930,loss=0.027219,psnr=31.302570
iter=2940,loss=0.027229,psnr=31.299341
iter=2950,loss=0.027167,psnr=31.319098
iter=2960,loss=0.027082,psnr=31.346323
iter=2970,loss=0.027037,psnr=31.360891
iter=2980,loss=0.026951,psnr=31.388514
iter=2990,loss=0.026920,psnr=31.398338
iter=3000,loss=0.026725,psnr=31.461653
iter=3010,loss=0.026660,psnr=31.482851
iter=3020,loss=0.026650,psnr=31.486155
iter=3030,loss=0.026629,psnr=31.492777
iter=3040,loss=0.026568,psnr=31.512827
iter=3050,loss=0.026563,psnr=31.514401
iter=3060,loss=0.026568,psnr=31.512982
iter=3070,loss=0.026539,psnr=31.522444
iter=3080,loss=0.026499,psnr=31.535361
iter=3090,loss=0.026472,psnr=31.544384
iter=3100,loss=0.026482,psnr=31.541057
iter=3110,loss=0.026485,psnr=31.540062
iter=3120,loss=0.026414,psnr=31.563429
iter=3130,loss=0.026396,psnr=31.569366
iter=3140,loss=0.026378,psnr=31.575075
