iter=0,err=0.437844
iter=10,err=0.413499
iter=20,err=0.368728
iter=30,err=0.319553
iter=40,err=0.273208
iter=50,err=0.232377
iter=60,err=0.189517
iter=70,err=0.147580
iter=80,err=0.114655
iter=90,err=0.088048
iter=100,err=0.067672
iter=110,err=0.045355
iter=120,err=0.029318
iter=130,err=0.020383
iter=140,err=0.013410
iter=150,err=0.011126
iter=160,err=0.010253
iter=170,err=0.008190
iter=180,err=0.007111
iter=190,err=0.006029
iter=200,err=0.005184
iter=210,err=0.006593
iter=220,err=0.004101
iter=230,err=0.003961
iter=240,err=0.002851
iter=250,err=0.002435
iter=260,err=0.002606
iter=270,err=0.002668
iter=280,err=0.002267
iter=290,err=0.002058
iter=300,err=0.002573
iter=310,err=0.002063
iter=320,err=0.001674
iter=330,err=0.001777
iter=340,err=0.001749
iter=350,err=0.001777
iter=360,err=0.002461
iter=370,err=0.002607
iter=380,err=0.002695
iter=390,err=0.002683
iter=400,err=0.003099
iter=410,err=0.004459
iter=420,err=0.004691
iter=430,err=0.004145
iter=440,err=0.004686
iter=450,err=0.004501
iter=460,err=0.003601
iter=470,err=0.003665
iter=480,err=0.002599
iter=490,err=0.002321
iter=500,err=0.002262
iter=510,err=0.002303
iter=520,err=0.002257
iter=530,err=0.001812
iter=540,err=0.001635
iter=550,err=0.001700
iter=560,err=0.002017
iter=570,err=0.001531
iter=580,err=0.001785
iter=590,err=0.001877
iter=600,err=0.002001
iter=610,err=0.001605
iter=620,err=0.001702
iter=630,err=0.001361
iter=640,err=0.002947
iter=650,err=0.008865
iter=660,err=0.006947
iter=670,err=0.004834
iter=680,err=0.003851
iter=690,err=0.004713
iter=700,err=0.004161
iter=710,err=0.004057
iter=720,err=0.003368
iter=730,err=0.002875
iter=740,err=0.002055
iter=750,err=0.002147
iter=760,err=0.001707
iter=770,err=0.001505
iter=780,err=0.001086
iter=790,err=0.001015
iter=800,err=0.000769
iter=810,err=0.000748
iter=820,err=0.000737
iter=830,err=0.000788
iter=840,err=0.000662
iter=850,err=0.000691
iter=860,err=0.000658
iter=870,err=0.000552
iter=880,err=0.000407
iter=890,err=0.000423
iter=900,err=0.000417
iter=910,err=0.000391
iter=920,err=0.000285
iter=930,err=0.000288
iter=940,err=0.000247
iter=950,err=0.000258
iter=960,err=0.000268
iter=970,err=0.000234
iter=980,err=0.000245
iter=990,err=0.000331
iter=1000,err=0.000313
iter=1010,err=0.000309
iter=1020,err=0.000341
iter=1030,err=0.000312
iter=1040,err=0.000281
iter=1050,err=0.000293
iter=1060,err=0.000302
iter=1070,err=0.000324
iter=1080,err=0.000327
iter=1090,err=0.000326
iter=1100,err=0.000324
iter=1110,err=0.000285
iter=1120,err=0.000236
iter=1130,err=0.000160
iter=1140,err=0.000183
iter=1150,err=0.000139
iter=1160,err=0.000126
iter=1170,err=0.000083
iter=1180,err=0.000099
iter=1190,err=0.000119
iter=1200,err=0.000120
iter=1210,err=0.000113
iter=1220,err=0.000077
iter=1230,err=0.000066
iter=1240,err=0.000077
iter=1250,err=0.000080
iter=1260,err=0.000059
iter=1270,err=0.000055
iter=1280,err=0.000033
iter=1290,err=0.000037
iter=1300,err=0.000041
iter=1310,err=0.000032
iter=1320,err=0.000030
iter=1330,err=0.000031
iter=1340,err=0.000023
iter=1350,err=0.000016
iter=1360,err=0.000014
iter=1370,err=0.000012
iter=1380,err=0.000010
iter=1390,err=0.000007
iter=1400,err=0.000005
iter=1410,err=0.000004
iter=1420,err=0.000005
iter=1430,err=0.000004
iter=1440,err=0.000003
iter=1450,err=0.000003
iter=1460,err=0.000003
iter=1470,err=0.000002
iter=1480,err=0.000002
iter=1490,err=0.000002
iter=1500,err=0.000002
iter=1510,err=0.000001
iter=1520,err=0.000001
iter=1530,err=0.000001
iter=1540,err=0.000001
iter=1550,err=0.000001
iter=1560,err=0.000001
iter=1570,err=0.000001
iter=1580,err=0.000001
iter=1590,err=0.000001
iter=1600,err=0.000000
iter=1610,err=0.000000
iter=1620,err=0.000000
iter=1630,err=0.000000
iter=1640,err=0.000000
iter=1650,err=0.000000
iter=1660,err=0.000000
iter=1670,err=0.000000
iter=1680,err=0.000000
iter=1690,err=0.000000
iter=1700,err=0.000000
iter=1710,err=0.000000
iter=1720,err=0.000000
iter=1730,err=0.000000
iter=1740,err=0.000000
iter=1750,err=0.000000
iter=1760,err=0.000000
iter=1770,err=0.000000
iter=1780,err=0.000000
iter=1790,err=0.000000
iter=1800,err=0.000000
iter=1810,err=0.000000
iter=1820,err=0.000000
iter=1830,err=0.000000
iter=1840,err=0.000000
iter=1850,err=0.000000
iter=1860,err=0.000000
iter=1870,err=0.000000
iter=1880,err=0.000001
iter=1890,err=0.000002
iter=1900,err=0.000002
iter=1910,err=0.000002
iter=1920,err=0.000002
iter=1930,err=0.000002
iter=1940,err=0.000002
iter=1950,err=0.000002
iter=1960,err=0.000001
iter=1970,err=0.000001
iter=1980,err=0.000001
iter=1990,err=0.000001
iter=2000,err=0.000000
