iter=0,err=0.421935
iter=10,err=0.392935
iter=20,err=0.346977
iter=30,err=0.309738
iter=40,err=0.283923
iter=50,err=0.262224
iter=60,err=0.231423
iter=70,err=0.196456
iter=80,err=0.164679
iter=90,err=0.135763
iter=100,err=0.104120
iter=110,err=0.080860
iter=120,err=0.069143
iter=130,err=0.050787
iter=140,err=0.033010
iter=150,err=0.023556
iter=160,err=0.019135
iter=170,err=0.014985
iter=180,err=0.010539
iter=190,err=0.010375
iter=200,err=0.008802
iter=210,err=0.007394
iter=220,err=0.004964
iter=230,err=0.004833
iter=240,err=0.004590
iter=250,err=0.003506
iter=260,err=0.003472
iter=270,err=0.003745
iter=280,err=0.003575
iter=290,err=0.004121
iter=300,err=0.003874
iter=310,err=0.003666
iter=320,err=0.003551
iter=330,err=0.003583
iter=340,err=0.002629
iter=350,err=0.002441
iter=360,err=0.002593
iter=370,err=0.002449
iter=380,err=0.001657
iter=390,err=0.001646
iter=400,err=0.001623
iter=410,err=0.001899
iter=420,err=0.002730
iter=430,err=0.003368
iter=440,err=0.002212
iter=450,err=0.001845
iter=460,err=0.002106
iter=470,err=0.001986
iter=480,err=0.002131
iter=490,err=0.002283
iter=500,err=0.002900
iter=510,err=0.002892
iter=520,err=0.002597
iter=530,err=0.002372
iter=540,err=0.003046
iter=550,err=0.003374
iter=560,err=0.003018
iter=570,err=0.002718
iter=580,err=0.002868
iter=590,err=0.002766
iter=600,err=0.002373
iter=610,err=0.002258
iter=620,err=0.002119
iter=630,err=0.002172
iter=640,err=0.001847
iter=650,err=0.001774
iter=660,err=0.001964
iter=670,err=0.001744
iter=680,err=0.001505
iter=690,err=0.001431
iter=700,err=0.001696
iter=710,err=0.001734
iter=720,err=0.001642
iter=730,err=0.001218
iter=740,err=0.001198
iter=750,err=0.001060
iter=760,err=0.001176
iter=770,err=0.001136
iter=780,err=0.001074
iter=790,err=0.000968
iter=800,err=0.001198
iter=810,err=0.001472
iter=820,err=0.001708
iter=830,err=0.001286
iter=840,err=0.001311
iter=850,err=0.000964
iter=860,err=0.000773
iter=870,err=0.000741
iter=880,err=0.000729
iter=890,err=0.000599
iter=900,err=0.000539
iter=910,err=0.000507
iter=920,err=0.000389
iter=930,err=0.000432
iter=940,err=0.000392
iter=950,err=0.000352
iter=960,err=0.000365
iter=970,err=0.000283
iter=980,err=0.000329
iter=990,err=0.000396
iter=1000,err=0.000379
iter=1010,err=0.000293
iter=1020,err=0.000326
iter=1030,err=0.000376
iter=1040,err=0.000361
iter=1050,err=0.000364
iter=1060,err=0.000350
iter=1070,err=0.000344
iter=1080,err=0.000319
iter=1090,err=0.000425
iter=1100,err=0.000396
iter=1110,err=0.000264
iter=1120,err=0.000271
iter=1130,err=0.000246
iter=1140,err=0.000522
iter=1150,err=0.001352
iter=1160,err=0.001039
iter=1170,err=0.001162
iter=1180,err=0.000908
iter=1190,err=0.000907
iter=1200,err=0.000802
iter=1210,err=0.000977
iter=1220,err=0.000800
iter=1230,err=0.000808
iter=1240,err=0.000560
iter=1250,err=0.000448
iter=1260,err=0.000449
iter=1270,err=0.000364
iter=1280,err=0.000302
iter=1290,err=0.000270
iter=1300,err=0.000263
iter=1310,err=0.000310
iter=1320,err=0.000335
iter=1330,err=0.000346
iter=1340,err=0.000455
iter=1350,err=0.000556
iter=1360,err=0.000381
iter=1370,err=0.000388
iter=1380,err=0.000291
iter=1390,err=0.000282
iter=1400,err=0.000346
iter=1410,err=0.000407
iter=1420,err=0.000541
iter=1430,err=0.000434
iter=1440,err=0.000478
iter=1450,err=0.000398
iter=1460,err=0.000316
iter=1470,err=0.000291
iter=1480,err=0.000334
iter=1490,err=0.000234
iter=1500,err=0.000252
iter=1510,err=0.000205
iter=1520,err=0.000191
iter=1530,err=0.000194
iter=1540,err=0.000181
iter=1550,err=0.000190
iter=1560,err=0.000174
iter=1570,err=0.000135
iter=1580,err=0.000123
iter=1590,err=0.000079
iter=1600,err=0.000067
iter=1610,err=0.000055
iter=1620,err=0.000039
iter=1630,err=0.000026
iter=1640,err=0.000026
iter=1650,err=0.000019
iter=1660,err=0.000016
iter=1670,err=0.000017
iter=1680,err=0.000013
iter=1690,err=0.000010
iter=1700,err=0.000008
iter=1710,err=0.000008
iter=1720,err=0.000010
iter=1730,err=0.000009
iter=1740,err=0.000009
iter=1750,err=0.000008
iter=1760,err=0.000006
iter=1770,err=0.000006
iter=1780,err=0.000005
iter=1790,err=0.000004
iter=1800,err=0.000003
iter=1810,err=0.000002
iter=1820,err=0.000002
iter=1830,err=0.000002
iter=1840,err=0.000001
iter=1850,err=0.000001
iter=1860,err=0.000001
iter=1870,err=0.000001
iter=1880,err=0.000000
iter=1890,err=0.000000
iter=1900,err=0.000000
iter=1910,err=0.000000
iter=1920,err=0.000000
iter=1930,err=0.000000
iter=1940,err=0.000000
iter=1950,err=0.000000
iter=1960,err=0.000000
iter=1970,err=0.000000
iter=1980,err=0.000000
iter=1990,err=0.000000
iter=2000,err=0.000000
