iter=0,err=0.518820
iter=10,err=0.501250
iter=20,err=0.475294
iter=30,err=0.449041
iter=40,err=0.412060
iter=50,err=0.372578
iter=60,err=0.327370
iter=70,err=0.290354
iter=80,err=0.255045
iter=90,err=0.217014
iter=100,err=0.175690
iter=110,err=0.129712
iter=120,err=0.088512
iter=130,err=0.050070
iter=140,err=0.030295
iter=150,err=0.022730
iter=160,err=0.015063
iter=170,err=0.010420
iter=180,err=0.008736
iter=190,err=0.009069
iter=200,err=0.009217
iter=210,err=0.009602
iter=220,err=0.006801
iter=230,err=0.008925
iter=240,err=0.012812
iter=250,err=0.008161
iter=260,err=0.008790
iter=270,err=0.010120
iter=280,err=0.007421
iter=290,err=0.006348
iter=300,err=0.005734
iter=310,err=0.005946
iter=320,err=0.005277
iter=330,err=0.004059
iter=340,err=0.004138
iter=350,err=0.003419
iter=360,err=0.002543
iter=370,err=0.002705
iter=380,err=0.002542
iter=390,err=0.002705
iter=400,err=0.003682
iter=410,err=0.003604
iter=420,err=0.004409
iter=430,err=0.003732
iter=440,err=0.003055
iter=450,err=0.003326
iter=460,err=0.003077
iter=470,err=0.002480
iter=480,err=0.002379
iter=490,err=0.002768
iter=500,err=0.002574
iter=510,err=0.002312
iter=520,err=0.001990
iter=530,err=0.002044
iter=540,err=0.001601
iter=550,err=0.001277
iter=560,err=0.000964
iter=570,err=0.000857
iter=580,err=0.000622
iter=590,err=0.000564
iter=600,err=0.000639
iter=610,err=0.000764
iter=620,err=0.000688
iter=630,err=0.000554
iter=640,err=0.000492
iter=650,err=0.000420
iter=660,err=0.000403
iter=670,err=0.000458
iter=680,err=0.000343
iter=690,err=0.000310
iter=700,err=0.000320
iter=710,err=0.000307
iter=720,err=0.000464
iter=730,err=0.001223
iter=740,err=0.001303
iter=750,err=0.000854
iter=760,err=0.000682
iter=770,err=0.000771
iter=780,err=0.000729
iter=790,err=0.000841
iter=800,err=0.000853
iter=810,err=0.000892
iter=820,err=0.000799
iter=830,err=0.000743
iter=840,err=0.000632
iter=850,err=0.000674
iter=860,err=0.000676
iter=870,err=0.000591
iter=880,err=0.000500
iter=890,err=0.000332
iter=900,err=0.000555
iter=910,err=0.000452
iter=920,err=0.000554
iter=930,err=0.000385
iter=940,err=0.000341
iter=950,err=0.000426
iter=960,err=0.000336
iter=970,err=0.000358
iter=980,err=0.000287
iter=990,err=0.000248
iter=1000,err=0.000281
iter=1010,err=0.000297
iter=1020,err=0.000261
iter=1030,err=0.000414
iter=1040,err=0.000461
iter=1050,err=0.000466
iter=1060,err=0.000344
iter=1070,err=0.000337
iter=1080,err=0.000451
iter=1090,err=0.000301
iter=1100,err=0.000290
iter=1110,err=0.000276
iter=1120,err=0.000366
iter=1130,err=0.000377
iter=1140,err=0.000402
iter=1150,err=0.000280
iter=1160,err=0.000249
iter=1170,err=0.000222
iter=1180,err=0.000246
iter=1190,err=0.000343
iter=1200,err=0.000303
iter=1210,err=0.000220
iter=1220,err=0.000221
iter=1230,err=0.000195
iter=1240,err=0.000169
iter=1250,err=0.000147
iter=1260,err=0.000150
iter=1270,err=0.000099
iter=1280,err=0.000079
iter=1290,err=0.000086
iter=1300,err=0.000069
iter=1310,err=0.000080
iter=1320,err=0.000062
iter=1330,err=0.000054
iter=1340,err=0.000038
iter=1350,err=0.000038
iter=1360,err=0.000035
iter=1370,err=0.000029
iter=1380,err=0.000023
iter=1390,err=0.000021
iter=1400,err=0.000019
iter=1410,err=0.000012
iter=1420,err=0.000009
iter=1430,err=0.000007
iter=1440,err=0.000005
iter=1450,err=0.000005
iter=1460,err=0.000004
iter=1470,err=0.000004
iter=1480,err=0.000004
iter=1490,err=0.000003
iter=1500,err=0.000002
iter=1510,err=0.000004
iter=1520,err=0.000006
iter=1530,err=0.000013
iter=1540,err=0.000009
iter=1550,err=0.000008
iter=1560,err=0.000007
iter=1570,err=0.000005
iter=1580,err=0.000005
iter=1590,err=0.000005
iter=1600,err=0.000004
iter=1610,err=0.000003
iter=1620,err=0.000002
iter=1630,err=0.000001
iter=1640,err=0.000001
iter=1650,err=0.000001
iter=1660,err=0.000001
iter=1670,err=0.000001
iter=1680,err=0.000000
iter=1690,err=0.000000
iter=1700,err=0.000000
iter=1710,err=0.000000
iter=1720,err=0.000000
iter=1730,err=0.000000
iter=1740,err=0.000000
iter=1750,err=0.000000
iter=1760,err=0.000000
iter=1770,err=0.000000
iter=1780,err=0.000000
iter=1790,err=0.000000
iter=1800,err=0.000000
iter=1810,err=0.000000
iter=1820,err=0.000000
iter=1830,err=0.000000
iter=1840,err=0.000000
iter=1850,err=0.000000
iter=1860,err=0.000000
iter=1870,err=0.000000
iter=1880,err=0.000000
iter=1890,err=0.000000
iter=1900,err=0.000000
iter=1910,err=0.000000
iter=1920,err=0.000000
iter=1930,err=0.000000
iter=1940,err=0.000000
iter=1950,err=0.000000
iter=1960,err=0.000000
iter=1970,err=0.000000
iter=1980,err=0.000000
iter=1990,err=0.000000
iter=2000,err=0.000000
