iter=0,err=0.467584
iter=10,err=0.446836
iter=20,err=0.390837
iter=30,err=0.345947
iter=40,err=0.316038
iter=50,err=0.295490
iter=60,err=0.269365
iter=70,err=0.232163
iter=80,err=0.190201
iter=90,err=0.151200
iter=100,err=0.109870
iter=110,err=0.077032
iter=120,err=0.062001
iter=130,err=0.048245
iter=140,err=0.036811
iter=150,err=0.028023
iter=160,err=0.019349
iter=170,err=0.012442
iter=180,err=0.008777
iter=190,err=0.006671
iter=200,err=0.004472
iter=210,err=0.004311
iter=220,err=0.004720
iter=230,err=0.004393
iter=240,err=0.003902
iter=250,err=0.003173
iter=260,err=0.002936
iter=270,err=0.003143
iter=280,err=0.003423
iter=290,err=0.003736
iter=300,err=0.003157
iter=310,err=0.002361
iter=320,err=0.001441
iter=330,err=0.001271
iter=340,err=0.001492
iter=350,err=0.001416
iter=360,err=0.001625
iter=370,err=0.001813
iter=380,err=0.002057
iter=390,err=0.002554
iter=400,err=0.001806
iter=410,err=0.001811
iter=420,err=0.001814
iter=430,err=0.001906
iter=440,err=0.002535
iter=450,err=0.003263
iter=460,err=0.003446
iter=470,err=0.004210
iter=480,err=0.005186
iter=490,err=0.004686
iter=500,err=0.003629
iter=510,err=0.002999
iter=520,err=0.002843
iter=530,err=0.002240
iter=540,err=0.002233
iter=550,err=0.001905
iter=560,err=0.001784
iter=570,err=0.001981
iter=580,err=0.001861
iter=590,err=0.001832
iter=600,err=0.001513
iter=610,err=0.001578
iter=620,err=0.001806
iter=630,err=0.001459
iter=640,err=0.001361
iter=650,err=0.001087
iter=660,err=0.000823
iter=670,err=0.000594
iter=680,err=0.000616
iter=690,err=0.000697
iter=700,err=0.000687
iter=710,err=0.000662
iter=720,err=0.000824
iter=730,err=0.001877
iter=740,err=0.001198
iter=750,err=0.000963
iter=760,err=0.000959
iter=770,err=0.000711
iter=780,err=0.000756
iter=790,err=0.000687
iter=800,err=0.000601
iter=810,err=0.000675
iter=820,err=0.024120
iter=830,err=0.046962
iter=840,err=0.050936
iter=850,err=0.051420
iter=860,err=0.049700
iter=870,err=0.046438
iter=880,err=0.045532
iter=890,err=0.044789
iter=900,err=0.043268
iter=910,err=0.042576
iter=920,err=0.041818
iter=930,err=0.042348
iter=940,err=0.042056
iter=950,err=0.041719
iter=960,err=0.040976
iter=970,err=0.040846
iter=980,err=0.040861
iter=990,err=0.040273
iter=1000,err=0.040687
