iter=1430,loss=0.067137,psnr=23.460707
iter=1440,loss=0.067499,psnr=23.414093
iter=1450,loss=0.067092,psnr=23.466587
iter=1460,loss=0.065195,psnr=23.715779
iter=1470,loss=0.063272,psnr=23.975824
iter=1480,loss=0.062188,psnr=24.125826
iter=1490,loss=0.061958,psnr=24.158009
iter=1500,loss=0.062236,psnr=24.119235
iter=1510,loss=0.062645,psnr=24.062206
iter=1520,loss=0.063076,psnr=24.002726
iter=1530,loss=0.063506,psnr=23.943748
iter=1540,loss=0.063926,psnr=23.886388
iter=1550,loss=0.063612,psnr=23.929208
iter=1560,loss=0.062563,psnr=24.073712
iter=1570,loss=0.062438,psnr=24.091082
iter=1580,loss=0.061144,psnr=24.272881
iter=1590,loss=0.059499,psnr=24.509803
iter=1600,loss=0.059203,psnr=24.553073
iter=1610,loss=0.059340,psnr=24.533048
iter=1620,loss=0.059524,psnr=24.506086
iter=1630,loss=0.059976,psnr=24.440476
iter=1640,loss=0.059979,psnr=24.440045
iter=1650,loss=0.060054,psnr=24.429156
iter=1660,loss=0.059595,psnr=24.495814
iter=1670,loss=0.059290,psnr=24.540435
iter=1680,loss=0.059214,psnr=24.551444
iter=1690,loss=0.059609,psnr=24.493829
iter=1700,loss=0.059988,psnr=24.438666
iter=1710,loss=0.060450,psnr=24.372104
iter=1720,loss=0.061043,psnr=24.287278
iter=1730,loss=0.061602,psnr=24.208056
iter=1740,loss=0.062166,psnr=24.128918
iter=1750,loss=0.062755,psnr=24.047011
iter=1760,loss=0.062449,psnr=24.089529
iter=1770,loss=0.060662,psnr=24.341646
iter=1780,loss=0.059596,psnr=24.495711
iter=1790,loss=0.059160,psnr=24.559431
iter=1800,loss=0.059117,psnr=24.565787
iter=1810,loss=0.058888,psnr=24.599504
iter=1820,loss=0.058979,psnr=24.586004
iter=1830,loss=0.059198,psnr=24.553830
iter=1840,loss=0.059447,psnr=24.517420
iter=1850,loss=0.059639,psnr=24.489415
iter=1860,loss=0.059809,psnr=24.464622
iter=1870,loss=0.058904,psnr=24.597053
iter=1880,loss=0.057880,psnr=24.749480
iter=1890,loss=0.056412,psnr=24.972558
iter=1900,loss=0.055632,psnr=25.093502
iter=1910,loss=0.055091,psnr=25.178396
iter=1920,loss=0.054600,psnr=25.256197
iter=1930,loss=0.054278,psnr=25.307556
iter=1940,loss=0.054662,psnr=25.246299
iter=1950,loss=0.054827,psnr=25.220085
iter=1960,loss=0.054116,psnr=25.333549
iter=1970,loss=0.054235,psnr=25.314364
iter=1980,loss=0.053606,psnr=25.415793
iter=1990,loss=0.052771,psnr=25.552124
iter=2000,loss=0.052890,psnr=25.532448
iter=2010,loss=0.052509,psnr=25.595279
iter=2020,loss=0.051539,psnr=25.757258
iter=2030,loss=0.051473,psnr=25.768464
iter=2040,loss=0.051406,psnr=25.779642
iter=2050,loss=0.051552,psnr=25.755124
iter=2060,loss=0.051965,psnr=25.685838
iter=2070,loss=0.052404,psnr=25.612638
iter=2080,loss=0.052812,psnr=25.545382
iter=2090,loss=0.053111,psnr=25.496263
iter=2100,loss=0.053276,psnr=25.469364
iter=2110,loss=0.052599,psnr=25.580457
iter=2120,loss=0.051540,psnr=25.757144
iter=2130,loss=0.050795,psnr=25.883576
iter=2140,loss=0.050870,psnr=25.870799
iter=2150,loss=0.050940,psnr=25.858853
iter=2160,loss=0.051314,psnr=25.795250
iter=2170,loss=0.051471,psnr=25.768828
iter=2180,loss=0.051583,psnr=25.749801
iter=2190,loss=0.051971,psnr=25.684837
iter=2200,loss=0.052548,psnr=25.588955
iter=2210,loss=0.053164,psnr=25.487719
iter=2220,loss=0.053976,psnr=25.355974
iter=2230,loss=0.054797,psnr=25.224887
iter=2240,loss=0.055603,psnr=25.098007
iter=2250,loss=0.055446,psnr=25.122610
iter=2260,loss=0.054692,psnr=25.241502
iter=2270,loss=0.054548,psnr=25.264466
iter=2280,loss=0.054260,psnr=25.310467
iter=2290,loss=0.054092,psnr=25.337346
iter=2300,loss=0.054166,psnr=25.325392
iter=2310,loss=0.054439,psnr=25.281850
iter=2320,loss=0.054755,psnr=25.231546
iter=2330,loss=0.054975,psnr=25.196622
iter=2340,loss=0.055263,psnr=25.151343
iter=2350,loss=0.055732,psnr=25.077908
iter=2360,loss=0.056296,psnr=24.990373
iter=2370,loss=0.056647,psnr=24.936515
iter=2380,loss=0.057074,psnr=24.871205
iter=2390,loss=0.057553,psnr=24.798633
iter=2400,loss=0.058040,psnr=24.725401
iter=2410,loss=0.058403,psnr=24.671284
iter=2420,loss=0.058601,psnr=24.641937
iter=2430,loss=0.058439,psnr=24.665944
iter=2440,loss=0.058240,psnr=24.695548
iter=2450,loss=0.058219,psnr=24.698779
iter=2460,loss=0.057256,psnr=24.843598
iter=2470,loss=0.057345,psnr=24.830065
iter=2480,loss=0.057793,psnr=24.762506
iter=2490,loss=0.058283,psnr=24.689190
iter=2500,loss=0.057903,psnr=24.745962
iter=2510,loss=0.057531,psnr=24.801990
iter=2520,loss=0.057643,psnr=24.785048
iter=2530,loss=0.057970,psnr=24.735977
iter=2540,loss=0.058323,psnr=24.683142
iter=2550,loss=0.058576,psnr=24.645596
iter=2560,loss=0.058493,psnr=24.657980
iter=2570,loss=0.058184,psnr=24.703930
iter=2580,loss=0.058505,psnr=24.656193
iter=2590,loss=0.058933,psnr=24.592897
iter=2600,loss=0.059388,psnr=24.526059
iter=2610,loss=0.058784,psnr=24.614779
iter=2620,loss=0.058088,psnr=24.718216
iter=2630,loss=0.057784,psnr=24.763826
iter=2640,loss=0.056699,psnr=24.928444
iter=2650,loss=0.055016,psnr=25.190193
iter=2660,loss=0.054141,psnr=25.329412
iter=2670,loss=0.053985,psnr=25.354569
iter=2680,loss=0.053923,psnr=25.364558
iter=2690,loss=0.053654,psnr=25.407929
iter=2700,loss=0.053009,psnr=25.513058
iter=2710,loss=0.053040,psnr=25.507996
iter=2720,loss=0.053099,psnr=25.498270
iter=2730,loss=0.052538,psnr=25.590581
iter=2740,loss=0.052814,psnr=25.544951
iter=2750,loss=0.053246,psnr=25.474179
iter=2760,loss=0.053338,psnr=25.459247
iter=2770,loss=0.053109,psnr=25.496634
iter=2780,loss=0.053396,psnr=25.449812
iter=2790,loss=0.053757,psnr=25.391377
iter=2800,loss=0.054189,psnr=25.321722
iter=2810,loss=0.054266,psnr=25.309454
iter=2820,loss=0.053738,psnr=25.394367
iter=2830,loss=0.053730,psnr=25.395708
iter=2840,loss=0.053355,psnr=25.456532
iter=2850,loss=0.053336,psnr=25.459602
iter=2860,loss=0.053619,psnr=25.413563
iter=2870,loss=0.054228,psnr=25.315450
iter=2880,loss=0.054469,psnr=25.277004
iter=2890,loss=0.054246,psnr=25.312689
iter=2900,loss=0.054540,psnr=25.265623
iter=2910,loss=0.054911,psnr=25.206870
iter=2920,loss=0.055296,psnr=25.146197
iter=2930,loss=0.055730,psnr=25.078201
iter=2940,loss=0.055947,psnr=25.044491
iter=2950,loss=0.055907,psnr=25.050643
iter=2960,loss=0.056065,psnr=25.026180
iter=2970,loss=0.056443,psnr=24.967815
iter=2980,loss=0.056822,psnr=24.909603
iter=2990,loss=0.056184,psnr=25.007698
iter=3000,loss=0.053714,psnr=25.398305
iter=3010,loss=0.052055,psnr=25.670745
iter=3020,loss=0.050602,psnr=25.916732
iter=3030,loss=0.050201,psnr=25.985748
iter=3040,loss=0.050472,psnr=25.938910
iter=3050,loss=0.050907,psnr=25.864466
iter=3060,loss=0.051287,psnr=25.799879
iter=3070,loss=0.051280,psnr=25.801015
iter=3080,loss=0.051674,psnr=25.734555
iter=3090,loss=0.052195,psnr=25.647451
iter=3100,loss=0.052752,psnr=25.555209
iter=3110,loss=0.053346,psnr=25.457949
iter=3120,loss=0.053822,psnr=25.380848
iter=3130,loss=0.054252,psnr=25.311672
iter=3140,loss=0.054664,psnr=25.245980
iter=3150,loss=0.054749,psnr=25.232468
iter=3160,loss=0.054643,psnr=25.249312
iter=3170,loss=0.054844,psnr=25.217458
iter=3180,loss=0.055194,psnr=25.162147
iter=3190,loss=0.055669,psnr=25.087751
iter=3200,loss=0.056118,psnr=25.017916
iter=3210,loss=0.055902,psnr=25.051489
iter=3220,loss=0.055991,psnr=25.037589
iter=3230,loss=0.056285,psnr=24.992072
iter=3240,loss=0.056629,psnr=24.939283
iter=3250,loss=0.057001,psnr=24.882282
iter=3260,loss=0.057202,psnr=24.851786
iter=3270,loss=0.057459,psnr=24.812834
